TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
World Domination,Joey Bada$$,2012,79,94,45,-2,91,162.999999936,17,50
Pennyroyal,Joey Bada$$,2012,93,83,75,-2,92,170.000000064,6,46
Funky Ho'$,Joey Bada$$,2012,174,69,69,-6,65,269.00000006399995,48,47
Daily Routine,Joey Bada$$,2012,81,53,67,-9,54,177.999999984,26,46
Snakes (feat. T'nah Apex),Joey Bada$$,2012,82,67,53,-5,80,258.999999984,82,48
Don't Front (feat. CJ Fly),Joey Bada$$,2012,95,81,61,-6,74,261.999999936,38,44
Righteous Minds,Joey Bada$$,2012,95,64,81,-6,61,224.000000064,26,52
Where It'$ At? (feat. Kirk Knight),Joey Bada$$,2012,80,66,72,-5,86,249.00000004800003,82,43
"Third Eye Sh*t (feat. Pro Era, Capital STEEZ, CJ Fly, Chuck Strangers, Dyemond Lewis, Nyck Caution, Kirk Knight, Rokamouth, T'nah Apex & Dessy Hinds)",Joey Bada$$,2012,129,67,61,-6,72,706.999999968,62,43
4th Dimension,KIDS SEE GHOSTS,2018,172,54,77,-7,73,153.0,28,68
Freeee (Ghost Town Pt. 2),KIDS SEE GHOSTS,2018,152,81,33,-5,31,206.99999999999997,0,60
INTRO,Rejjie Snow,2017,80,68,52,-6,22,193.99999996800003,65,19
UNBORN,Rejjie Snow,2017,170,37,79,-8,79,193.000000032,33,21
FASHION WEEK,Rejjie Snow,2017,140,66,76,-8,64,137.0000000016,45,26
AFRICAN DRAGON,Rejjie Snow,2017,73,54,47,-13,21,24.9999999984,35,0
PURPLE TUESDAY (feat. Joey Bada$$ & Jesse Boykins III),Rejjie Snow,2017,84,46,68,-6,72,290.000000016,38,45
ME & MY PIANO,Rejjie Snow,2017,80,27,64,-14,49,99.9999999936,87,20
SUNNY CALIFORNIA,Rejjie Snow,2017,150,56,51,-8,37,198.999999936,16,33
HOPE,Rejjie Snow,2017,80,64,70,-5,68,116.00000000639999,31,20
CONGO (MAMA AFRICA),Rejjie Snow,2017,88,67,66,-7,71,56.9999999952,51,14
GET IT (feat. Joyce Wrice),Rejjie Snow,2017,86,69,69,-7,71,177.000000048,5,29
MILK MAN,Rejjie Snow,2017,170,79,28,-15,4,17.000000006399997,94,0
PINK FLOWER (feat. Dana Williams & Julian Bell),Rejjie Snow,2017,80,60,68,-6,80,173.999999952,62,30
ACID TRIP,Rejjie Snow,2017,99,56,72,-8,39,188.000000064,4,46
Hello,Rejjie Snow,2018,130,73,81,-8,82,130.9999999968,4,31
Rainbows,Rejjie Snow,2018,162,72,58,-7,74,200.999999952,1,29
The Wonderful World of Annie,Rejjie Snow,2018,110,42,67,-15,58,67.9999999968,37,24
23,Rejjie Snow,2018,97,64,80,-7,50,182.000000016,28,52
Pink Lemonade,Rejjie Snow,2018,90,38,88,-9,75,161.000000064,19,38
Skinny Jasmine Intermission,Rejjie Snow,2018,132,59,80,-10,61,74.0000000016,39,24
Mon Amour,Rejjie Snow,2018,178,65,64,-6,67,227.000000016,16,36
Oh No!,Rejjie Snow,2018,132,54,76,-7,55,170.000000064,50,37
Spaceships,Rejjie Snow,2018,107,78,78,-7,63,193.000000032,19,33
Egyptian Luvr (feat. Aminé and Dana Williams),Rejjie Snow,2018,105,59,83,-8,90,256.99999996799994,6,53
